Line,FIFO,Count,Head,Tail
18816,Local,3,2,2
18819,East,0,1,3
18862,Local,4,1,0
18870,Local,3,1,3
18874,West,0,2,3
18878,Local,3,2,2
18881,East,1,1,0
18925,Local,4,1,0
18933,Local,4,1,0
18937,West,0,2,3
18941,Local,3,2,2
18944,East,0,2,0
18987,Local,4,1,0
18995,Local,4,1,0
18999,West,0,2,3
19003,Local,3,2,2
19006,East,0,2,0
19052,Local,4,1,0
19060,Local,3,2,0
19064,West,0,2,3
19068,Local,3,2,2
19071,East,0,2,0
19076,Local,0,0,1
19114,Local,4,1,0
19122,Local,3,2,0
19126,West,0,2,3
19130,Local,4,2,3
19133,East,1,2,1
19138,Local,0,0,1
19178,Local,4,1,0
19186,Local,3,2,0
19190,West,0,2,3
19194,Local,4,2,3
19197,East,0,3,1
19202,Local,0,0,1
19241,Local,4,1,0
19249,Local,2,3,0
19253,West,0,2,3
19257,Local,4,2,3
19260,East,0,3,1
19265,Local,1,0,2
19305,Local,3,2,0
19313,Local,2,3,0
19317,West,0,2,3
19321,Local,3,3,3
19324,East,0,3,1
19329,Local,1,0,2
19368,Local,3,2,0
19371,East,1,1,3
19376,Local,2,3,0
19380,West,0,2,3
19384,Local,3,3,3
19387,East,0,3,1
19392,Local,2,0,3
19433,Local,3,2,0
19436,East,0,2,3
19441,Local,2,3,0
19445,West,0,2,3
19449,Local,3,3,3
19452,East,0,3,1
19457,Local,2,0,3
19498,Local,4,2,1
19501,East,0,2,3
19506,Local,2,3,0
19510,West,0,2,3
19514,Local,3,3,3
19517,East,0,3,1
19522,Local,1,1,0
19563,Local,3,3,1
19566,East,0,2,3
19571,Local,2,3,0
19575,West,0,2,3
19579,Local,2,0,0
19582,East,0,3,1
19587,Local,1,1,0
19626,Local,3,3,1
19629,East,1,2,0
19634,Local,3,3,1
19638,West,0,2,3
19642,Local,2,0,0
19645,East,1,3,2
19650,Local,1,1,0
19692,Local,3,3,1
19695,East,0,3,0
19700,Local,3,3,1
19704,West,0,2,3
19708,Local,2,0,0
19711,East,0,0,2
19716,Local,2,1,1
19759,Local,3,3,1
19762,East,0,3,0
19767,Local,4,3,2
19771,West,0,2,3
19775,Local,1,1,0
19778,East,0,0,2
19783,Local,1,2,1
19827,East,0,3,0
19832,Local,4,3,2
19836,West,0,2,3
19840,Local,2,1,1
19843,East,0,0,2
19848,Local,2,2,2
19890,East,0,3,0
19895,Local,4,3,2
19899,West,1,2,0
19903,Local,2,1,1
19906,East,0,0,2
19911,Local,2,2,2
19954,East,0,3,0
19959,Local,4,3,2
19963,West,0,3,0
19967,Local,2,1,1
19970,East,0,0,2
19975,Local,3,2,3
20018,East,0,3,0
20023,Local,4,3,2
20027,West,0,3,0
20031,Local,1,2,1
20034,East,0,0,2
20039,Local,3,2,3
20080,East,0,3,0
20085,Local,4,3,2
20089,West,0,3,0
20093,Local,1,2,1
20096,East,0,0,2
20101,Local,3,2,3
20142,East,0,3,0
20147,Local,4,3,2
20151,West,1,3,1
20155,Local,1,2,1
20158,East,0,0,2
20163,Local,3,2,3
20205,East,0,3,0
20210,Local,4,3,2
20214,West,1,3,1
20218,Local,1,2,1
20221,East,0,0,2
20226,Local,3,2,3
20266,Local,1,2,0
20269,East,0,3,0
20274,Local,4,3,2
20278,West,1,3,1
20282,Local,1,2,1
20285,East,0,0,2
20290,Local,2,3,3
20327,Local,1,2,0
20330,East,0,3,0
20335,Local,4,3,2
20339,West,1,3,1
20343,Local,1,2,1
20346,East,0,0,2
20351,Local,2,3,3
20391,Local,1,2,0
20394,East,0,3,0
20399,Local,4,3,2
20403,West,1,3,1
20407,Local,1,2,1
20410,East,0,0,2
20415,Local,2,3,3
20454,Local,2,2,1
20457,East,0,3,0
20462,Local,4,3,2
20466,West,1,3,1
20470,Local,1,2,1
20473,East,0,0,2
20478,Local,2,3,3
20520,Local,1,3,1
20523,East,0,3,0
20528,Local,3,0,2
20532,West,1,3,1
20536,Local,1,2,1
20539,East,0,0,2
20544,Local,1,0,3
20583,Local,2,3,2
20586,East,0,3,0
20591,Local,3,0,2
20595,West,2,3,2
20599,Local,2,2,2
20602,East,0,0,2
20607,Local,1,0,3
20648,Local,2,3,2
20651,East,0,3,0
20656,Local,3,0,2
20660,West,2,3,2
20664,Local,2,2,2
20667,East,0,0,2
20672,Local,1,0,3
20712,Local,3,3,3
20715,East,0,3,0
20720,Local,4,0,3
20724,West,2,3,2
20728,Local,2,2,2
20731,East,0,0,2
20736,Local,2,0,0
20775,Local,3,3,3
20778,East,0,3,0
20783,Local,3,1,3
20787,West,2,3,2
20791,Local,2,2,2
20794,East,0,0,2
20799,Local,1,1,0
20837,Local,3,3,3
20840,East,0,3,0
20845,Local,3,1,3
20849,West,3,3,3
20853,Local,2,2,2
20856,East,1,0,3
20861,Local,1,1,0
20902,Local,3,3,3
20905,East,0,3,0
20910,Local,3,1,3
20914,West,3,3,3
20918,Local,3,2,3
20921,East,1,0,3
20926,Local,1,1,0
20965,Local,4,3,0
20968,East,0,3,0
20973,Local,3,1,3
20977,West,3,3,3
20981,Local,3,2,3
20984,East,1,0,3
20989,Local,2,1,1
21031,Local,3,0,0
21034,East,0,3,0
21039,Local,2,2,3
21043,West,3,3,3
21047,Local,3,2,3
21050,East,0,1,3
21055,Local,1,2,1
21095,Local,3,0,0
21098,East,0,3,0
21103,Local,3,2,0
21107,West,4,3,0
21111,Local,3,2,3
21114,East,1,1,0
21119,Local,2,2,2
21159,Local,4,0,1
21162,East,0,3,0
21167,Local,3,2,0
21171,West,4,3,0
21175,Local,3,2,3
21178,East,1,1,0
21183,Local,2,2,2
